return_id,order_id,customer_id,product_id,return_date,return_reason,quantity_returned,refund_amount
2,5,11592,425.0,2022-03-28 22:45:13.831416,Defective,1.0,450.17
3,5,11592,859.0,2022-04-07 22:45:13.831416,Did not match description,1.0,1769.95
13,85,13791,150.0,2024-01-04 16:09:03.170109,Wrong Item,1.0,1236.32
14,85,13791,429.0,2023-12-26 16:09:03.170109,Did not match description,1.0,312.28
15,85,13791,977.0,2023-12-14 16:09:03.170109,Changed Mind,3.0,3730.23
27,164,15122,395.0,2023-09-02 16:36:33.170093,Wrong Item,2.0,3588.72
30,196,19090,827.0,2024-01-10 23:42:36.658069,Changed Mind,1.0,1522.42
31,196,19090,271.0,2024-01-15 23:42:36.658069,Changed Mind,1.0,1836.04
33,217,3533,823.0,2023-07-01 10:12:08.724846,Wrong Item,2.0,532.52
34,238,4320,254.0,2021-05-18 22:46:35.469935,Changed Mind,3.0,3200.61
38,245,12233,439.0,2022-07-21 01:55:50.965708,Did not match description,1.0,640.58
52,414,14988,952.0,2023-09-13 02:53:02.079285,Did not match description,1.0,1653.48
53,414,14988,63.0,2023-08-25 02:53:02.079285,Defective,1.0,1664.26
54,416,5811,193.0,2023-10-24 22:28:34.656230,Did not match description,1.0,461.9
55,416,5811,435.0,2023-11-13 22:28:34.656230,Changed Mind,1.0,119.73
56,416,5811,382.0,2023-10-24 22:28:34.656230,Wrong Item,1.0,347.49
73,565,10691,929.0,2023-08-25 15:26:26.871623,Changed Mind,2.0,156.18
74,565,10691,776.0,2023-09-20 15:26:26.871623,Defective,1.0,1450.33
75,586,11347,859.0,2022-11-23 09:42:03.483899,Defective,1.0,1769.95
76,602,15115,448.0,2022-05-18 12:08:02.243650,Defective,5.0,4843.7
77,602,15115,464.0,2022-05-12 12:08:02.243650,Changed Mind,1.0,440.65
78,602,15115,679.0,2022-05-04 12:08:02.243650,Did not match description,1.0,1109.05
85,662,12155,835.0,2023-10-08 10:52:37.957149,Changed Mind,2.0,2487.58
86,662,12155,660.0,2023-09-26 10:52:37.957149,Changed Mind,1.0,83.53
88,680,6754,282.0,2022-05-27 02:34:32.395518,Did not match description,1.0,677.85
89,680,6754,400.0,2022-06-24 02:34:32.395518,Changed Mind,1.0,1111.7
90,680,6754,989.0,2022-06-05 02:34:32.395518,Changed Mind,3.0,484.22
91,680,6754,253.0,2022-06-22 02:34:32.395518,Wrong Item,1.0,279.31
96,702,10260,180.0,2023-08-17 08:50:31.008014,Did not match description,3.0,3952.64
97,702,10260,379.0,2023-08-05 08:50:31.008014,Wrong Item,1.0,393.91
98,702,10260,79.0,2023-08-12 08:50:31.008014,Wrong Item,1.0,637.59
99,702,10260,138.0,2023-08-10 08:50:31.008014,Changed Mind,2.0,260.36
100,711,17454,422.0,2022-11-22 09:47:28.012626,Did not match description,2.0,5301.36
101,729,11426,83.0,2023-07-10 10:21:09.215985,Changed Mind,1.0,1143.63
102,729,11426,89.0,2023-07-17 10:21:09.215985,Defective,1.0,1887.49
