order_item_id,order_id,product_id,quantity,unit_price,discount,item_revenue,item_cost,item_profit
1,1,259,1,247.46,0.0,247.46,52.63,194.83
6,2,800,1,187.96,0.0,187.96,86.43,101.53
17,8,478,1,190.9,0.0,190.9,58.51,132.39
19,9,633,1,232.44,0.0,232.44,57.59,174.85
21,10,675,1,91.73,0.0,91.73,32.91,58.82
29,18,713,1,147.28,0.0,147.28,46.63,100.65
30,19,987,1,103.53,0.0,103.53,47.67,55.86
31,20,753,1,14.67,0.0,14.67,6.23,8.44
38,25,755,5,170.39,0.0,851.95,375.75,476.2
40,27,218,1,188.34,0.0,188.34,72.65,115.69
42,29,737,4,349.37,0.0,1397.48,371.28,1026.2
45,30,257,1,127.43,0.0,127.43,41.53,85.9
58,35,228,1,38.21,0.0,38.21,15.91,22.3
59,36,753,1,14.67,0.0,14.67,6.23,8.44
62,37,449,1,149.13,0.0,149.13,41.47,107.66
64,38,259,1,247.46,0.0,247.46,52.63,194.83
70,41,330,1,256.98,0.0,256.98,85.04,171.94
76,44,825,1,103.35,0.0,103.35,26.8,76.55
77,45,839,1,190.21,28.53,161.68,54.5,107.18
79,46,459,1,233.16,0.0,233.16,61.71,171.45
80,47,755,2,170.39,0.0,340.78,150.3,190.48
86,48,330,1,256.98,25.7,231.28,85.04,146.24
88,49,361,1,77.69,0.0,77.69,34.81,42.88
89,49,449,1,149.13,0.0,149.13,41.47,107.66
94,51,582,2,29.82,0.0,59.64,28.0,31.64
96,51,892,1,210.03,0.0,210.03,64.95,145.08
101,53,175,2,148.2,29.64,266.76,127.32,139.44
104,55,873,1,146.33,21.95,124.38,42.85,81.53
113,58,55,1,205.17,0.0,205.17,68.45,136.72
115,59,624,1,274.97,27.5,247.47,92.93,154.54
116,60,65,1,354.38,0.0,354.38,97.51,256.87
125,65,362,2,288.73,57.75,519.71,138.42,381.29
127,67,65,1,354.38,53.16,301.22,97.51,203.71
132,69,330,3,256.98,154.19,616.75,255.12,361.63
136,72,23,3,113.72,34.12,307.04,159.69,147.35
139,73,819,2,185.17,0.0,370.34,128.42,241.92
141,75,861,1,252.25,37.84,214.41,51.63,162.78
146,77,810,1,108.56,0.0,108.56,46.79,61.77
153,79,343,3,166.29,0.0,498.87,206.67,292.2
158,84,74,1,69.48,0.0,69.48,15.99,53.49
165,86,800,1,187.96,0.0,187.96,86.43,101.53
166,87,164,2,199.81,0.0,399.62,165.9,233.72
178,94,498,1,418.13,0.0,418.13,92.32,325.81
184,97,582,1,29.82,0.0,29.82,14.0,15.82
186,98,146,2,130.0,0.0,260.0,93.44,166.56
189,99,235,3,26.99,0.0,80.97,39.21,41.76
190,100,23,1,113.72,11.37,102.35,53.23,49.12
192,100,737,1,349.37,0.0,349.37,92.82,256.55
197,104,15,2,115.01,0.0,230.02,69.78,160.24
203,108,386,4,76.12,0.0,304.48,119.4,185.08
212,113,197,2,381.48,0.0,762.96,166.26,596.7
215,116,713,1,147.28,0.0,147.28,46.63,100.65
218,117,46,1,94.25,0.0,94.25,19.96,74.29
219,118,624,1,274.97,0.0,274.97,92.93,182.04
230,122,608,1,283.36,0.0,283.36,89.51,193.85
240,129,166,1,113.0,16.95,96.05,37.79,58.26
243,131,445,1,138.05,0.0,138.05,30.75,107.3
244,132,591,1,25.93,0.0,25.93,10.79,15.14
245,132,52,1,208.42,41.68,166.74,99.63,67.11
251,136,393,1,32.38,0.0,32.38,10.87,21.51
257,137,757,1,109.92,21.98,87.94,40.83,47.11
260,138,199,1,215.04,0.0,215.04,66.53,148.51
264,141,495,1,28.38,2.84,25.54,13.05,12.49
268,142,436,5,136.55,0.0,682.75,338.15,344.6
271,144,990,1,105.65,0.0,105.65,35.16,70.49
272,144,392,2,160.8,0.0,321.6,109.84,211.76
275,145,487,1,143.32,21.5,121.82,57.43,64.39
294,155,361,2,77.69,31.08,124.3,69.62,54.68
300,158,717,1,180.88,0.0,180.88,59.78,121.1
304,162,740,2,185.27,0.0,370.54,154.86,215.68
310,165,375,1,197.27,0.0,197.27,55.84,141.43
311,166,199,1,215.04,0.0,215.04,66.53,148.51
312,167,726,1,281.46,0.0,281.46,65.57,215.89
321,169,436,1,136.55,0.0,136.55,67.63,68.92
323,169,197,5,381.48,0.0,1907.4,415.65,1491.75
325,170,259,2,247.46,0.0,494.92,105.26,389.66
334,175,779,2,142.98,0.0,285.96,63.48,222.48
336,176,554,1,76.28,0.0,76.28,29.63,46.65
337,176,436,1,136.55,0.0,136.55,67.63,68.92
341,179,218,1,188.34,0.0,188.34,72.65,115.69
350,183,799,1,147.38,0.0,147.38,67.12,80.26
355,187,397,1,169.08,0.0,169.08,68.91,100.17
