return_id,order_id,customer_id,product_id,return_date,return_reason,quantity_returned,refund_amount
4,18,3999,713.0,2023-02-28 01:54:28.648338,Wrong Item,1.0,147.28
5,27,9072,218.0,2023-11-29 05:20:23.789992,Defective,1.0,188.34
6,45,14241,839.0,2023-12-18 22:36:05.447220,Changed Mind,1.0,161.68
7,45,14241,314.0,2023-12-20 22:36:05.447220,Defective,1.0,670.66
8,48,2943,125.0,2022-06-15 14:46:38.438449,Changed Mind,1.0,281.69
9,48,2943,684.0,2022-06-11 14:46:38.438449,Did not match description,4.0,1138.44
16,99,15410,539.0,2022-06-26 15:19:40.898399,Did not match description,1.0,405.01
17,99,15410,235.0,2022-07-05 15:19:40.898399,Defective,3.0,80.97
23,122,9574,608.0,2023-08-01 21:50:31.322823,Changed Mind,1.0,283.36
26,162,11658,740.0,2021-08-02 14:38:25.819688,Changed Mind,2.0,370.54
35,243,5343,367.0,2023-12-21 20:25:10.147729,Defective,1.0,463.13
36,243,5343,394.0,2024-01-01 20:25:10.147729,Wrong Item,2.0,86.24
37,243,5343,755.0,2023-12-19 20:25:10.147729,Changed Mind,4.0,681.56
46,303,19636,349.0,2022-10-24 12:37:55.827994,Did not match description,1.0,20.27
47,308,12371,609.0,2023-10-04 04:28:47.966340,Defective,3.0,439.05
48,308,12371,516.0,2023-10-10 04:28:47.966340,Wrong Item,1.0,118.27
62,492,12479,115.0,2023-03-15 13:19:08.439107,Defective,1.0,141.54
65,552,4487,239.0,2022-05-31 11:05:47.841108,Wrong Item,2.0,851.9
66,552,4487,668.0,2022-05-28 11:05:47.841108,Changed Mind,1.0,108.08
67,552,4487,204.0,2022-05-05 11:05:47.841108,Wrong Item,1.0,344.4
68,552,4487,616.0,2022-05-19 11:05:47.841108,Did not match description,1.0,281.23
69,552,4487,337.0,2022-05-26 11:05:47.841108,Wrong Item,1.0,583.82
73,565,10691,929.0,2023-08-25 15:26:26.871623,Changed Mind,2.0,156.18
74,565,10691,776.0,2023-09-20 15:26:26.871623,Defective,1.0,1450.33
75,586,11347,859.0,2022-11-23 09:42:03.483899,Defective,1.0,1769.95
79,623,14248,825.0,2021-08-14 18:48:27.327525,Defective,1.0,103.35
82,654,13422,755.0,2023-03-26 10:15:37.818462,Did not match description,1.0,170.39
83,654,13422,863.0,2023-04-01 10:15:37.818462,Did not match description,1.0,592.86
