order_item_id,order_id,product_id,quantity,unit_price,discount,item_revenue,item_cost,item_profit
2,1,698,1,1649.18,0.0,1649.18,1253.14,396.04
23,12,248,1,421.48,0.0,421.48,229.36,192.12
30,19,987,1,103.53,0.0,103.53,47.67,55.86
37,25,352,2,856.51,0.0,1713.02,1024.48,688.54
45,30,257,1,127.43,0.0,127.43,41.53,85.9
47,32,97,1,243.53,36.53,207.0,172.13,34.87
51,34,669,1,1220.75,0.0,1220.75,644.19,576.56
63,38,121,2,783.22,313.29,1253.15,985.34,267.81
73,42,949,4,169.99,0.0,679.96,413.36,266.6
81,47,364,1,405.81,0.0,405.81,157.67,248.14
82,47,915,1,2283.14,0.0,2283.14,1947.08,336.06
98,51,500,5,2371.69,0.0,11858.45,9523.25,2335.2
103,55,209,1,1601.65,0.0,1601.65,1181.04,420.61
112,58,315,2,2110.45,0.0,4220.9,3417.2,803.7
113,58,55,1,205.17,0.0,205.17,68.45,136.72
114,59,544,1,1502.82,0.0,1502.82,765.1,737.72
118,62,87,1,526.93,0.0,526.93,180.14,346.79
125,65,362,2,288.73,57.75,519.71,138.42,381.29
129,68,297,4,194.37,0.0,777.48,615.16,162.32
138,73,87,2,526.93,0.0,1053.86,360.28,693.58
140,74,426,1,1827.89,182.79,1645.1,1528.03,117.07
154,80,948,1,349.55,0.0,349.55,222.67,126.88
160,85,210,1,217.53,0.0,217.53,66.3,151.23
168,88,315,1,2110.45,0.0,2110.45,1708.6,401.85
171,91,803,1,332.24,0.0,332.24,151.15,181.09
173,91,68,1,145.77,0.0,145.77,85.77,60.0
180,95,614,1,32.34,0.0,32.34,21.28,11.06
185,98,742,1,1393.57,0.0,1393.57,714.76,678.81
191,100,255,1,1222.71,0.0,1222.71,1024.53,198.18
199,105,821,1,40.75,0.0,40.75,18.06,22.69
200,106,742,1,1393.57,0.0,1393.57,714.76,678.81
202,107,824,1,1275.72,0.0,1275.72,1053.65,222.07
209,110,494,1,142.11,0.0,142.11,94.54,47.57
225,120,255,1,1222.71,0.0,1222.71,1024.53,198.18
232,123,260,1,765.6,0.0,765.6,509.5,256.1
244,132,591,1,25.93,0.0,25.93,10.79,15.14
247,133,550,3,1861.23,0.0,5583.69,4210.14,1373.55
258,137,838,1,50.64,0.0,50.64,29.81,20.83
260,138,199,1,215.04,0.0,215.04,66.53,148.51
261,139,765,1,1658.1,0.0,1658.1,1344.5,313.6
264,141,495,1,28.38,2.84,25.54,13.05,12.49
271,144,990,1,105.65,0.0,105.65,35.16,70.49
