OrderID,CustomerID,OrderDate,OrderStatus,payment_method,shipping_city,shipping_state,shipping_cost,discount_amount,TotalAmount
91964,11497,2023-11-30 14:31:58.532843,Completed,Debit Card,City12,OH,19.12,0.0,1736.27
51501,2001,2023-12-14 01:15:19.601766,Completed,Apple Pay,City67,CA,15.18,658.09,2985.38
68753,19827,2023-12-14 03:15:07.222719,Completed,PayPal,City85,MI,6.0,127.93,1612.81
50988,2166,2023-08-04 05:11:41.206119,Completed,PayPal,City22,CA,8.32,0.0,2927.21
46851,17491,2023-03-01 03:02:59.918322,Completed,Apple Pay,City79,TX,15.85,675.8,7689.299999999999
61964,13082,2023-11-07 22:56:41.649867,Completed,PayPal,City7,OH,15.68,278.71,2524.11
31405,19820,2022-12-06 21:07:54.578276,Completed,Apple Pay,City96,IL,10.32,0.0,717.72
25274,4200,2023-12-10 10:31:16.544728,Returned,Debit Card,City37,GA,18.51,0.0,212.57
93997,12195,2023-04-11 05:47:27.434841,Completed,Debit Card,City77,PA,2.93,0.0,1892.54
30536,18993,2021-04-15 18:11:07.781618,Completed,Debit Card,City50,TX,15.52,0.0,461.73
77103,17854,2023-09-24 12:11:11.529402,Completed,Debit Card,City49,GA,2.47,430.89,1928.58
5332,11109,2022-10-19 21:20:16.411214,Completed,Debit Card,City43,MI,23.72,0.0,1322.61
27603,1613,2023-06-27 09:41:06.479940,Completed,PayPal,City10,GA,1.14,0.0,1264.5300000000002
16876,4995,2022-04-04 18:44:49.211349,Completed,PayPal,City85,NC,15.36,456.63,4709.359999999999
65835,13409,2023-12-21 05:36:43.321328,Completed,Debit Card,City9,NY,19.46,0.0,5840.36
62758,13927,2022-03-14 15:52:14.384682,Completed,Debit Card,City11,GA,11.08,0.0,2108.29
49712,16644,2023-11-25 13:47:20.851781,Completed,Credit Card,City38,PA,18.89,0.0,1469.59
65537,13718,2023-03-25 08:17:42.008098,Completed,Credit Card,City18,IL,0.99,0.0,1699.83
11949,12689,2023-08-12 09:11:19.590568,Completed,Credit Card,City71,MI,9.44,0.0,1438.2600000000002
1258,5309,2023-09-13 01:56:47.775965,Completed,Debit Card,City70,CA,19.06,0.0,3210.63
40572,5717,2022-04-04 16:22:34.725086,Completed,Apple Pay,City22,CA,8.58,0.0,2736.13
43460,14003,2023-11-22 17:23:05.389022,Completed,Debit Card,City76,NY,13.43,14.81,8653.76
94280,14274,2022-10-07 07:09:25.389872,Completed,Debit Card,City52,FL,0.08,0.0,392.58
55093,11404,2023-07-06 22:04:32.346724,Completed,Debit Card,City31,PA,17.8,0.0,633.9799999999999
28318,16508,2023-08-27 01:53:47.799038,Completed,Apple Pay,City56,TX,19.98,379.94,4940.709999999999
9104,8725,2022-08-27 21:27:04.513830,Completed,PayPal,City62,GA,0.31,0.0,1654.1
97410,5700,2023-01-24 12:41:27.539729,Completed,Credit Card,City38,PA,12.08,393.48,2241.8
87905,9868,2023-08-11 04:46:32.205812,Completed,PayPal,City4,CA,5.68,336.82,3684.29
19929,10145,2023-01-22 20:48:33.945400,Completed,Apple Pay,City13,IL,11.83,0.0,6312.48
19666,302,2023-10-28 05:20:52.834463,Returned,PayPal,City67,PA,5.47,610.25,7396.490000000001
