return_id,order_id,customer_id,product_id,return_date,return_reason,quantity_returned,refund_amount
13,85,13791,150.0,2024-01-04 16:09:03.170109,Wrong Item,1.0,1236.32
14,85,13791,429.0,2023-12-26 16:09:03.170109,Did not match description,1.0,312.28
15,85,13791,977.0,2023-12-14 16:09:03.170109,Changed Mind,3.0,3730.23
20,110,11462,184.0,2022-10-28 05:00:59.936424,Did not match description,1.0,1888.0
21,110,11462,834.0,2022-10-30 05:00:59.936424,Defective,1.0,329.06
22,110,11462,494.0,2022-10-28 05:00:59.936424,Did not match description,1.0,142.11
30,196,19090,827.0,2024-01-10 23:42:36.658069,Changed Mind,1.0,1522.42
31,196,19090,271.0,2024-01-15 23:42:36.658069,Changed Mind,1.0,1836.04
33,217,3533,823.0,2023-07-01 10:12:08.724846,Wrong Item,2.0,532.52
35,243,5343,367.0,2023-12-21 20:25:10.147729,Defective,1.0,463.13
36,243,5343,394.0,2024-01-01 20:25:10.147729,Wrong Item,2.0,86.24
37,243,5343,755.0,2023-12-19 20:25:10.147729,Changed Mind,4.0,681.56
43,282,11552,71.0,2022-04-02 04:01:24.691614,Wrong Item,1.0,832.26
49,337,12353,79.0,2021-09-26 03:29:02.964275,Wrong Item,2.0,1275.17
57,463,3087,677.0,2023-02-13 11:59:46.679661,Defective,1.0,166.35
58,463,3087,687.0,2023-02-17 11:59:46.679661,Did not match description,1.0,31.74
59,463,3087,948.0,2023-01-28 11:59:46.679661,Did not match description,1.0,349.55
61,473,15571,937.0,2023-04-30 07:58:03.255938,Did not match description,1.0,1020.86
64,548,1266,185.0,2022-10-31 19:24:49.951312,Did not match description,1.0,250.92
75,586,11347,859.0,2022-11-23 09:42:03.483899,Defective,1.0,1769.95
76,602,15115,448.0,2022-05-18 12:08:02.243650,Defective,5.0,4843.7
77,602,15115,464.0,2022-05-12 12:08:02.243650,Changed Mind,1.0,440.65
78,602,15115,679.0,2022-05-04 12:08:02.243650,Did not match description,1.0,1109.05
80,652,11154,863.0,2022-10-25 10:00:09.183813,Changed Mind,1.0,592.86
81,652,11154,986.0,2022-10-03 10:00:09.183813,Did not match description,1.0,107.31
88,680,6754,282.0,2022-05-27 02:34:32.395518,Did not match description,1.0,677.85
89,680,6754,400.0,2022-06-24 02:34:32.395518,Changed Mind,1.0,1111.7
90,680,6754,989.0,2022-06-05 02:34:32.395518,Changed Mind,3.0,484.22
91,680,6754,253.0,2022-06-22 02:34:32.395518,Wrong Item,1.0,279.31
101,729,11426,83.0,2023-07-10 10:21:09.215985,Changed Mind,1.0,1143.63
102,729,11426,89.0,2023-07-17 10:21:09.215985,Defective,1.0,1887.49
103,729,11426,369.0,2023-06-25 10:21:09.215985,Defective,1.0,289.46
104,743,9509,794.0,2023-11-21 01:07:05.257774,Wrong Item,2.0,998.21
105,743,9509,83.0,2023-11-13 01:07:05.257774,Did not match description,1.0,1345.45
106,743,9509,133.0,2023-11-03 01:07:05.257774,Wrong Item,3.0,1532.88
118,791,13921,409.0,2023-06-30 06:00:20.585914,Defective,2.0,330.0
119,799,17970,903.0,2023-05-03 15:23:38.902291,Wrong Item,4.0,5880.52
126,849,4963,742.0,2023-09-26 11:16:01.015955,Defective,1.0,1393.57
129,897,11572,282.0,2022-06-20 07:28:39.246436,Wrong Item,1.0,677.85
130,897,11572,204.0,2022-06-09 07:28:39.246436,Wrong Item,1.0,344.4
133,913,13259,476.0,2024-01-11 18:28:58.684436,Did not match description,2.0,408.62
134,913,13259,321.0,2024-01-23 18:28:58.684436,Did not match description,1.0,903.32
135,913,13259,261.0,2024-01-19 18:28:58.684436,Changed Mind,1.0,314.78
136,913,13259,737.0,2024-01-25 18:28:58.684436,Wrong Item,1.0,349.37
137,913,13259,208.0,2024-01-15 18:28:58.684436,Changed Mind,1.0,574.14
149,966,18913,868.0,2023-09-22 09:19:01.110197,Defective,1.0,1328.7
150,974,19554,11.0,2024-01-22 03:34:20.612329,Wrong Item,2.0,672.46
151,974,19554,61.0,2024-01-03 03:34:20.612329,Did not match description,1.0,198.56
152,974,19554,575.0,2024-01-24 03:34:20.612329,Changed Mind,4.0,2525.15
155,987,596,544.0,2022-11-22 03:42:07.177683,Changed Mind,1.0,1502.82
164,1027,1039,727.0,2022-02-28 22:05:20.423634,Wrong Item,1.0,238.28
