order_id,customer_id,order_date,order_status,payment_method,shipping_city,shipping_state,shipping_cost,discount_amount,total_amount
1,19905,2023-06-27 18:27:51.461226,Completed,Apple Pay,City93,FL,19.05,0.0,2699.59
2,5046,2023-12-20 01:14:16.836951,Completed,Apple Pay,City74,NY,14.67,0.0,2340.82
3,18550,2023-05-17 19:00:44.902642,Completed,Credit Card,City21,MI,16.15,0.0,267.65
4,6034,2022-04-16 17:01:44.205772,Returned,Credit Card,City73,NC,17.81,0.0,634.79
5,11592,2022-03-22 22:45:13.831416,Returned,Debit Card,City98,IL,8.82,0.0,2228.94
6,12355,2022-11-07 03:09:58.433133,Cancelled,Debit Card,City91,NC,9.0,261.48,1054.91
7,11061,2022-05-04 08:31:15.108520,Completed,Apple Pay,City6,IL,24.7,0.0,450.65
8,1616,2023-11-13 07:02:42.055960,Completed,Credit Card,City63,PA,21.85,0.0,212.75
9,7938,2023-08-22 13:28:39.699172,Completed,Credit Card,City22,FL,15.85,0.0,285.15000000000003
10,15689,2023-10-15 00:14:20.063768,Completed,Credit Card,City7,MI,4.49,0.0,247.1
11,8017,2021-10-22 05:15:32.405282,Completed,Debit Card,City94,NY,20.66,263.75,1515.27
12,3760,2023-01-08 10:46:49.131604,Completed,Credit Card,City10,NY,23.83,0.0,445.31
13,8899,2023-06-12 14:23:55.002047,Cancelled,Apple Pay,City68,MI,1.06,0.0,350.56
14,16115,2023-04-27 18:07:23.458183,Completed,Debit Card,City5,FL,7.13,0.0,1777.0800000000002
15,7744,2023-05-12 18:37:17.950209,Completed,PayPal,City12,OH,21.66,103.33,951.65
16,10331,2021-10-15 05:06:08.045996,Cancelled,Debit Card,City19,OH,8.92,0.0,1257.6
17,18314,2023-12-28 02:42:51.167120,Completed,Debit Card,City86,GA,8.65,399.11,1605.1
18,3999,2023-02-09 01:54:28.648338,Returned,Credit Card,City27,OH,24.95,0.0,172.23
19,10616,2023-04-12 23:50:21.308520,Completed,PayPal,City1,CA,6.75,0.0,110.28
20,2351,2023-06-13 12:26:51.683027,Completed,Apple Pay,City32,CA,0.82,0.0,3898.06
21,12628,2022-03-08 02:33:46.864075,Completed,Debit Card,City21,GA,24.88,214.02,1951.06
22,1879,2023-07-14 03:21:43.253058,Completed,Apple Pay,City75,FL,24.9,0.0,169.81
23,9399,2023-11-01 05:54:13.911354,Completed,Debit Card,City26,GA,13.03,0.0,592.6999999999999
24,7512,2023-07-11 20:53:18.989726,Completed,Debit Card,City5,NY,5.92,0.0,1070.34
25,15517,2023-11-19 10:22:53.126256,Completed,PayPal,City66,OH,19.16,0.0,2584.13
26,12653,2021-11-09 13:24:46.826382,Completed,Credit Card,City80,PA,7.07,0.0,524.4300000000001
27,9072,2023-11-22 05:20:23.789992,Returned,Credit Card,City39,CA,24.34,0.0,212.68
28,1476,2022-05-17 23:20:10.940189,Completed,PayPal,City100,PA,16.01,0.0,399.17
29,8239,2023-02-10 18:05:02.213390,Completed,Apple Pay,City38,NY,11.14,0.0,3228.47
30,5711,2023-12-25 18:46:10.951635,Cancelled,Apple Pay,City50,NC,6.04,0.0,499.94000000000005
31,2206,2023-01-30 02:52:05.208677,Completed,Apple Pay,City83,OH,18.21,0.0,8876.73
32,14029,2023-12-06 17:54:43.018744,Completed,Debit Card,City38,IL,15.92,36.53,222.92
33,8771,2023-05-09 02:00:48.647192,Completed,Credit Card,City97,NC,13.07,0.0,53.76
34,18555,2023-10-19 04:57:21.459493,Completed,Credit Card,City3,OH,2.86,10.57,3664.19
35,11214,2023-08-12 02:25:04.693118,Completed,Apple Pay,City99,IL,18.14,0.0,6234.75
36,8901,2021-03-23 10:23:26.848448,Completed,Debit Card,City4,NY,17.44,0.0,3400.36
37,2993,2023-07-03 06:24:52.037765,Completed,Credit Card,City98,NC,1.93,0.0,784.1099999999999
38,12320,2022-12-10 10:07:02.725130,Cancelled,Credit Card,City25,OH,1.37,313.29,1501.98
39,6932,2023-02-02 19:28:31.756476,Completed,Credit Card,City59,NC,1.35,0.0,1417.05
40,14774,2023-09-19 04:45:02.264869,Completed,Debit Card,City68,IL,7.54,0.0,888.8399999999999
41,11723,2023-07-24 14:39:42.217605,Completed,Credit Card,City97,NC,15.42,0.0,1649.08
42,1973,2022-10-13 20:13:33.769775,Completed,Apple Pay,City37,GA,18.85,68.35,972.23
43,18,2023-09-19 13:19:54.981866,Completed,Credit Card,City71,PA,11.52,0.0,2544.62
44,596,2022-12-10 11:23:25.702669,Completed,Credit Card,City16,FL,15.13,0.0,246.91
