order_id,product_id,quantity,item_revenue,item_cost,item_profit
100000.0,GGOEAKBB010299,1,65.0,,
100001.0,GGOEAKBB010299,1,65.0,,
100002.0,GGOEAAEB099214,1,12.5,,
100003.0,GGOEGFKQ014499,1,24.99,,
100004.0,GGOEGAXB098810,1,26.5,,
100005.0,GGOEGAAB010516,1,18.0,,
100006.0,GGOEFAAB010617,1,6.5,,
100007.0,GGOEGAXB098810,1,26.5,,
100008.0,GGOEYHPB098810,2,96.0,,
100009.0,GGOEGAXB098810,1,26.5,,
100010.0,GGOEGAXB098810,2,53.0,,
100011.0,GGOEFAAB010617,3,19.5,,
100012.0,GGOEAKBB010299,1,65.0,,
100013.0,GGOEGFKQ014499,1,24.99,,
100014.0,GGOEAKBB010299,1,65.0,,
100015.0,GGOEGBJR013999,2,44.0,,
100016.0,GGOEAAEB099214,1,12.5,,
100017.0,GGOEAKBB010299,1,65.0,,
100018.0,GGOEGFKQ014499,1,24.99,,
100019.0,GGOEGAXB098810,1,26.5,,
100020.0,GGOEGAAB010516,2,36.0,,
100021.0,GGOEYHPB098810,1,48.0,,
100022.0,GGOEGAAB010516,2,36.0,,
100023.0,GGOEFAAB010617,1,6.5,,
100024.0,GGOEGAAB010516,1,18.0,,
100025.0,GGOEGBJR013999,1,22.0,,
100026.0,GGOEGDHH087299,1,99.99,,
100027.0,GGOEGFKQ014499,1,24.99,,
100028.0,GGOEGBJR013999,1,22.0,,
100029.0,GGOEGDHH087299,1,99.99,,
100030.0,GGOEAAEB099214,1,12.5,,
100031.0,GGOEGAAB010516,1,18.0,,
100032.0,GGOEAKBB010299,1,65.0,,
100033.0,GGOEGFKQ014499,1,24.99,,
100034.0,GGOEGAAB010516,1,18.0,,
100035.0,GGOEGFXQ016399,1,79.0,,
100036.0,GGOEGFKQ014499,1,24.99,,
100037.0,GGOEYHPB098810,1,48.0,,
100038.0,GGOEAAEB099214,3,37.5,,
100039.0,GGOEGFXQ016399,1,79.0,,
100040.0,GGOEGDHH087299,2,199.98,,
100041.0,GGOEGAAB010516,1,18.0,,
100042.0,GGOEAAEB099214,1,12.5,,
100043.0,GGOEFAAB010617,1,6.5,,
100044.0,GGOEYHPB098810,1,48.0,,
100045.0,GGOEGDHH087299,1,99.99,,
100046.0,GGOEAAEB099214,1,12.5,,
100047.0,GGOEYHPB098810,1,48.0,,
100048.0,GGOEGBJR013999,2,44.0,,
100049.0,GGOEGFKQ014499,1,24.99,,
100050.0,GGOEGBJR013999,1,22.0,,
100051.0,GGOEFAAB010617,1,6.5,,
100052.0,GGOEAKBB010299,1,65.0,,
100053.0,GGOEGAXB098810,2,53.0,,
100054.0,GGOEGFXQ016399,1,79.0,,
100055.0,GGOEGAXB098810,1,26.5,,
100056.0,GGOEYHPB098810,1,48.0,,
100057.0,GGOEGDHH087299,1,99.99,,
100058.0,GGOEGDHH087299,1,99.99,,
100059.0,GGOEGFKQ014499,2,49.98,,
100060.0,GGOEGDHH087299,1,99.99,,
100061.0,GGOEGAXB098810,1,26.5,,
100062.0,GGOEGFXQ016399,1,79.0,,
100063.0,GGOEGAXB098810,2,53.0,,
100064.0,GGOEAKBB010299,2,130.0,,
100065.0,GGOEGDHH087299,1,99.99,,
100066.0,GGOEFAAB010617,1,6.5,,
100067.0,GGOEGAAB010516,1,18.0,,
100068.0,GGOEGFXQ016399,1,79.0,,
100069.0,GGOEGAXB098810,2,53.0,,
100070.0,GGOEGFKQ014499,1,24.99,,
100071.0,GGOEAAEB099214,1,12.5,,
100072.0,GGOEYHPB098810,1,48.0,,
100073.0,GGOEYHPB098810,2,96.0,,
100074.0,GGOEYHPB098810,1,48.0,,
100075.0,GGOEFAAB010617,1,6.5,,
100076.0,GGOEAKBB010299,1,65.0,,
100077.0,GGOEFAAB010617,1,6.5,,
100078.0,GGOEAAEB099214,1,12.5,,
100079.0,GGOEGFKQ014499,1,24.99,,
100080.0,GGOEGFKQ014499,1,24.99,,
100081.0,GGOEYHPB098810,1,48.0,,
100082.0,GGOEGFXQ016399,3,237.0,,
100083.0,GGOEGBJR013999,1,22.0,,
100084.0,GGOEGFXQ016399,2,158.0,,
100085.0,GGOEGFXQ016399,3,237.0,,
100086.0,GGOEAAEB099214,3,37.5,,
100087.0,GGOEGDHH087299,1,99.99,,
100088.0,GGOEGAXB098810,1,26.5,,
100089.0,GGOEGFKQ014499,2,49.98,,
100090.0,GGOEGAAB010516,1,18.0,,
100091.0,GGOEGFXQ016399,1,79.0,,
100092.0,GGOEAAEB099214,1,12.5,,
100093.0,GGOEGFXQ016399,1,79.0,,
100094.0,GGOEFAAB010617,2,13.0,,
100095.0,GGOEGBJR013999,1,22.0,,
100096.0,GGOEYHPB098810,3,144.0,,
100097.0,GGOEGFKQ014499,1,24.99,,
100098.0,GGOEAKBB010299,1,65.0,,
100099.0,GGOEGAAB010516,1,18.0,,
100100.0,GGOEGBJR013999,3,66.0,,
100101.0,GGOEYHPB098810,2,96.0,,
100102.0,GGOEAKBB010299,2,130.0,,
100103.0,GGOEGDHH087299,2,199.98,,
100104.0,GGOEGAXB098810,1,26.5,,
100105.0,GGOEFAAB010617,1,6.5,,
100106.0,GGOEGBJR013999,3,66.0,,
100107.0,GGOEGAXB098810,2,53.0,,
100108.0,GGOEYHPB098810,1,48.0,,
