order_id,customer_id,order_date,order_status,shipping_state,total_amount
100000.0,1.0,2018-06-26,Completed,SP,104.78
100001.0,2.0,2017-01-21,Completed,SC,156.11
100002.0,3.0,2016-09-21,Completed,SP,162.43
100003.0,4.0,2018-03-19,Completed,DF,105.53
100004.0,5.0,2016-11-07,Completed,SP,89.66
100005.0,6.0,2018-06-02,Completed,SP,123.57
100006.0,7.0,2017-11-01,Completed,RJ,108.04
100007.0,8.0,2017-09-14,Completed,MG,185.06
100008.0,9.0,2017-06-13,Completed,SP,72.21
100009.0,10.0,2017-02-04,Completed,SP,50.73
100010.0,11.0,2017-04-15,Completed,MG,132.81
100011.0,12.0,2018-05-23,Completed,RJ,141.91
100012.0,13.0,2017-09-26,Completed,SP,126.22
100013.0,14.0,2018-02-03,Completed,SP,113.5
100014.0,15.0,2018-08-30,Completed,SP,146.82
100015.0,16.0,2017-08-19,Completed,MG,190.91
100016.0,17.0,2018-01-31,Completed,SP,85.84
100017.0,18.0,2017-04-16,Completed,SP,170.44
100018.0,19.0,2017-10-25,Completed,GO,185.66
100019.0,20.0,2016-09-15,Completed,SC,118.57
100020.0,21.0,2017-04-06,Completed,SP,111.25
100021.0,22.0,2017-03-25,Completed,SP,118.86
100022.0,23.0,2017-12-07,Completed,SP,302.62
100023.0,24.0,2018-02-22,Completed,PR,129.67
100024.0,25.0,2017-01-09,Completed,SP,109.44
100025.0,26.0,2016-12-05,Completed,RJ,140.46
100026.0,27.0,2016-10-07,Completed,SP,130.58
100027.0,28.0,2017-10-07,Completed,SP,48.16
100028.0,29.0,2017-02-19,Completed,SP,101.36
100029.0,30.0,2017-08-02,Completed,RJ,87.23
100030.0,31.0,2017-09-24,Completed,SP,135.95
100031.0,32.0,2017-04-20,Completed,PR,149.86
100032.0,33.0,2016-09-13,Completed,SP,216.76
100033.0,34.0,2017-09-28,Completed,RJ,110.2
100034.0,35.0,2017-11-09,Completed,BA,220.66
100035.0,36.0,2018-04-17,Completed,PE,150.23
100036.0,37.0,2017-09-16,Completed,RJ,138.61
100037.0,38.0,2017-01-18,Completed,SP,103.34
100038.0,39.0,2017-08-26,Completed,SP,73.05
100039.0,40.0,2018-06-12,Completed,SP,48.59
100040.0,41.0,2017-09-28,Completed,SP,117.78
100041.0,42.0,2017-09-06,Completed,SP,108.41
100042.0,43.0,2017-01-09,Completed,PR,134.5
100043.0,44.0,2017-12-22,Completed,SP,109.5
100044.0,45.0,2017-06-05,Completed,SP,144.37
100045.0,46.0,2017-07-05,Completed,MG,109.31
100046.0,47.0,2018-08-08,Completed,RJ,163.77
100047.0,48.0,2017-05-31,Completed,MG,139.46
100048.0,49.0,2018-04-26,Completed,SP,159.37
100049.0,50.0,2018-07-30,Completed,PR,111.61
100050.0,51.0,2017-11-20,Completed,PE,152.47
100051.0,52.0,2017-01-14,Completed,SP,86.33
100052.0,53.0,2018-03-16,Completed,SP,249.7
100053.0,54.0,2018-08-30,Completed,BA,108.83
100054.0,55.0,2018-05-27,Completed,SP,78.76
100055.0,56.0,2017-11-02,Completed,RJ,79.35
100056.0,57.0,2017-07-31,Completed,MG,126.73
100057.0,58.0,2017-04-11,Completed,RS,117.57
100058.0,59.0,2017-03-15,Completed,SP,300.02
100059.0,60.0,2018-05-06,Completed,SP,63.87
100060.0,61.0,2018-07-28,Completed,RS,82.7
100061.0,62.0,2017-12-18,Completed,GO,177.23
100062.0,63.0,2016-12-28,Completed,PE,105.8
100063.0,64.0,2017-06-10,Completed,PE,90.99
100064.0,65.0,2017-06-02,Completed,SP,100.5
100065.0,66.0,2017-06-19,Completed,SP,85.64
100066.0,67.0,2016-11-08,Completed,DF,122.53
100067.0,68.0,2018-03-29,Completed,MG,119.18
100068.0,69.0,2018-06-21,Completed,SP,115.38
100069.0,70.0,2017-03-14,Completed,RJ,88.71
100070.0,71.0,2017-07-18,Completed,SC,98.5
100071.0,72.0,2018-06-02,Completed,SP,65.6
100072.0,73.0,2018-02-27,Completed,SP,167.65
100073.0,74.0,2018-08-29,Completed,GO,136.87
100074.0,75.0,2018-05-03,Completed,PE,172.09
100075.0,76.0,2018-01-23,Completed,RS,105.03
100076.0,77.0,2016-10-03,Completed,RJ,21.91
100077.0,78.0,2017-05-05,Completed,PE,143.31
100078.0,79.0,2017-09-26,Completed,SP,99.83
100079.0,80.0,2017-05-03,Completed,SP,135.24
100080.0,81.0,2017-10-05,Completed,SP,117.75
100081.0,82.0,2017-09-08,Completed,BA,123.91
100082.0,83.0,2018-08-11,Completed,SP,40.3
100083.0,84.0,2018-08-27,Completed,PE,81.6
100084.0,85.0,2016-11-08,Completed,SP,106.31
100085.0,86.0,2018-04-23,Completed,PE,119.01
100086.0,87.0,2018-07-11,Completed,SP,118.02
100087.0,88.0,2018-03-29,Completed,SC,125.78
100088.0,89.0,2018-04-27,Completed,SP,71.11
100089.0,90.0,2017-03-12,Completed,DF,198.71
100090.0,91.0,2017-11-21,Completed,RJ,104.78
100091.0,92.0,2018-01-10,Completed,RJ,81.32
100092.0,93.0,2017-01-30,Completed,SP,120.82
100093.0,94.0,2017-06-21,Completed,PR,113.23
100094.0,95.0,2017-05-28,Completed,SC,150.69
100095.0,96.0,2017-11-13,Completed,BA,78.62
100096.0,97.0,2016-12-07,Completed,SP,99.05
100097.0,98.0,2018-04-23,Completed,SP,82.27
100098.0,99.0,2017-06-11,Completed,PE,129.4
100099.0,100.0,2018-07-05,Completed,RS,127.2
100100.0,101.0,2017-05-13,Completed,RS,88.06
100101.0,102.0,2016-10-28,Completed,SP,89.18
100102.0,103.0,2017-02-06,Completed,DF,166.92
