product_id,product_name,category,subcategory,brand,selling_price,unit_cost,stock_quantity
PRD-INFO-148,Computers & Tech Item,Computers & Tech,Computers & Tech,Standard Brand,143.295,,100
PRD-ESPO-443,Sports & Leisure Item,Sports & Leisure,Sports & Leisure,Standard Brand,121.58999999999999,,100
PRD-BELE-487,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,162.43,,100
PRD-BELE-468,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,111.72857142857143,,100
PRD-CAMA-572,"Bed, Bath & Table Item","Bed, Bath & Table","Bed, Bath & Table",Standard Brand,102.494,,100
PRD-MOVE-758,Furniture & Decor Item,Furniture & Decor,Furniture & Decor,Standard Brand,89.66428571428571,,100
PRD-BELE-529,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,135.38,,100
PRD-RELO-597,Watches & Gifts Item,Watches & Gifts,Watches & Gifts,Standard Brand,176.01,,100
PRD-MOVE-875,Furniture & Decor Item,Furniture & Decor,Furniture & Decor,Standard Brand,78.935,,100
PRD-BELE-641,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,89.7475,,100
PRD-ESPO-654,Sports & Leisure Item,Sports & Leisure,Sports & Leisure,Standard Brand,111.235,,100
PRD-CAMA-564,"Bed, Bath & Table Item","Bed, Bath & Table","Bed, Bath & Table",Standard Brand,103.555,,100
PRD-INFO-660,Computers & Tech Item,Computers & Tech,Computers & Tech,Standard Brand,149.14249999999998,,100
PRD-RELO-216,Watches & Gifts Item,Watches & Gifts,Watches & Gifts,Standard Brand,113.5,,100
PRD-RELO-236,Watches & Gifts Item,Watches & Gifts,Watches & Gifts,Standard Brand,199.15625,,100
PRD-RELO-231,Watches & Gifts Item,Watches & Gifts,Watches & Gifts,Standard Brand,156.96666666666667,,100
PRD-MOVE-400,Furniture & Decor Item,Furniture & Decor,Furniture & Decor,Standard Brand,97.09666666666668,,100
PRD-BELE-796,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,170.575,,100
PRD-INFO-205,Computers & Tech Item,Computers & Tech,Computers & Tech,Standard Brand,111.526,,100
PRD-RELO-198,Watches & Gifts Item,Watches & Gifts,Watches & Gifts,Standard Brand,172.34,,100
PRD-ESPO-905,Sports & Leisure Item,Sports & Leisure,Sports & Leisure,Standard Brand,106.655,,100
PRD-MOVE-797,Furniture & Decor Item,Furniture & Decor,Furniture & Decor,Standard Brand,85.764,,100
PRD-RELO-580,Watches & Gifts Item,Watches & Gifts,Watches & Gifts,Standard Brand,235.06166666666664,,100
PRD-INFO-357,Computers & Tech Item,Computers & Tech,Computers & Tech,Standard Brand,129.97833333333332,,100
PRD-BELE-263,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,132.52,,100
PRD-INFO-913,Computers & Tech Item,Computers & Tech,Computers & Tech,Standard Brand,140.735,,100
PRD-ESPO-788,Sports & Leisure Item,Sports & Leisure,Sports & Leisure,Standard Brand,114.79375,,100
PRD-CAMA-845,"Bed, Bath & Table Item","Bed, Bath & Table","Bed, Bath & Table",Standard Brand,55.1875,,100
PRD-BELE-160,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,120.30857142857143,,100
PRD-ESPO-403,Sports & Leisure Item,Sports & Leisure,Sports & Leisure,Standard Brand,122.25999999999999,,100
PRD-BELE-608,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,119.12666666666667,,100
PRD-BELE-852,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,146.50799999999998,,100
PRD-RELO-152,Watches & Gifts Item,Watches & Gifts,Watches & Gifts,Standard Brand,206.30599999999998,,100
PRD-MOVE-638,Furniture & Decor Item,Furniture & Decor,Furniture & Decor,Standard Brand,101.37333333333333,,100
PRD-RELO-633,Watches & Gifts Item,Watches & Gifts,Watches & Gifts,Standard Brand,201.40666666666667,,100
PRD-INFO-345,Computers & Tech Item,Computers & Tech,Computers & Tech,Standard Brand,112.7875,,100
PRD-ESPO-655,Sports & Leisure Item,Sports & Leisure,Sports & Leisure,Standard Brand,81.9725,,100
PRD-ESPO-671,Sports & Leisure Item,Sports & Leisure,Sports & Leisure,Standard Brand,111.81000000000002,,100
PRD-MOVE-569,Furniture & Decor Item,Furniture & Decor,Furniture & Decor,Standard Brand,96.54666666666667,,100
PRD-CAMA-319,"Bed, Bath & Table Item","Bed, Bath & Table","Bed, Bath & Table",Standard Brand,88.53,,100
PRD-INFO-149,Computers & Tech Item,Computers & Tech,Computers & Tech,Standard Brand,111.03,,100
PRD-MOVE-401,Furniture & Decor Item,Furniture & Decor,Furniture & Decor,Standard Brand,101.1275,,100
PRD-ESPO-194,Sports & Leisure Item,Sports & Leisure,Sports & Leisure,Standard Brand,131.01,,100
PRD-CAMA-452,"Bed, Bath & Table Item","Bed, Bath & Table","Bed, Bath & Table",Standard Brand,99.07333333333334,,100
PRD-BELE-437,Health & Beauty Item,Health & Beauty,Health & Beauty,Standard Brand,121.85249999999999,,100
PRD-MOVE-290,Furniture & Decor Item,Furniture & Decor,Furniture & Decor,Standard Brand,100.01333333333334,,100
